name,prices,sale_tag,url
babolat pure aero rafa racquet,"[259.9, 0, 229.91]",New,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Rafa_Racket/descpageRCQBA-BPARR-EN.html
babolat pure aero racquet,"[199.9, 249.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Racket/descpageRCQBA-BPAR-EN.html
babolat pure aero vs racquet x2,"[339.9, 529.9, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_VS_Racket_x2/descpageRCQBA-PAVDOU-EN.html
babolat pure aero vs racquet (single),"[174.91, 269.95, 0]",Sale,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_VS_Racket_SINGLE/descpageRCQBA-PAVSIN-EN.html
babolat pure aero plus racquet,"[199.9, 249.95, 0]",Best Seller,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Plus_Racket/descpageRCQBA-BPAPR-EN.html
babolat pure aero team racquet,"[159.9, 219.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Team_Racket/descpageRCQBA-BPART-EN.html
babolat pure aero super lite racquet,"[134.9, 189.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Super_Lite_Racket/descpageRCQBA-BPASLR-EN.html
babolat pure aero tour racquet,"[199.9, 259.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Tour_Racket/descpageRCQBA-BPATRR-EN.html
babolat pure aero lite racquet,"[163.9, 204.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Lite_Racket/descpageRCQBA-BPARL-EN.html
babolat pure drive racquet,"[197.9, 219.95, 182.9]",Best Seller,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Racket_/descpageRCQBA-BRPDR-EN.html
babolat pure drive plus racquet,"[199.9, 219.95, 182.95]",New,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Plus_Racket_/descpageRCQBA-BRPDP-EN.html
babolat pure drive tour racquet,"[204.89, 229.95, 184.95]",New,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Tour_Racket_/descpageRCQBA-BRPDT-EN.html
babolat pure drive team racquet,"[179.9, 199.95, 162.95]",New,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Team_Racket_/descpageRCQBA-BRPTE-EN.html
babolat pure drive lite racquet,"[169.9, 189.95, 154.95]",New,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Lite_Racket_/descpageRCQBA-BRPDL-EN.html
babolat pure drive super lite racquet,"[179.9, 0, 161.89]",New,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Super_Lite_Racket_/descpageRCQBA-BRPDSL-EN.html
