ID,Name,Name in Ελληνικά,Type,Attrib. Set Name,SKU,Barcode,Price,Special,Cost,Gross Profit %,Qty,Stock Status,Visibility,Status,Websites
119023,Wilson Ultra 100 V3.0 Roland Garros Tennis Racquet-L4,Ρακέτα τένις Wilson Ultra 100 V3.0 Roland Garros,Simple Product,Racquets,WR068411-L4,97512515504,€240.00,€215.90,€126.00,27.63%,4,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
119022,Wilson Ultra 100 V3.0 Roland Garros Tennis Racquet-L3,Ρακέτα τένις Wilson Ultra 100 V3.0 Roland Garros,Simple Product,Racquets,WR068411-L3,97512515498,€240.00,€215.90,€126.00,27.63%,15,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
119021,Wilson Ultra 100 V3.0 Roland Garros Tennis Racquet-L2,Ρακέτα τένις Wilson Ultra 100 V3.0 Roland Garros,Simple Product,Racquets,WR068411-L2,97512515375,€240.00,€215.90,€126.00,27.63%,9,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
119014,Wilson Roland Garros Team Tennis Racquet (2021)-L4,Wilson Roland Garros Team Tennis Racquet (2021)-L4,Simple Product,Racquets,WR066310-L4,97512510066,€135.00,€129.90,€67.50,35.57%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
119013,Wilson Roland Garros Team Tennis Racquet (2021)-L3,Wilson Roland Garros Team Tennis Racquet (2021)-L3,Simple Product,Racquets,WR066310-L3,97512510004,€135.00,€129.90,€67.50,35.57%,14,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
119012,Wilson Roland Garros Team Tennis Racquet (2021)-L2,Wilson Roland Garros Team Tennis Racquet (2021)-L2,Simple Product,Racquets,WR066310-L2,97512510011,€135.00,€129.90,€67.50,35.57%,10,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
119009,Wilson Roland Garros Equip HP Tennis Racquet (2021)-L3,Wilson Roland Garros Equip HP Tennis Racquet (2021)-L3,Simple Product,Racquets,WR066410-L3,97512504324,€110.00,€99.90,€53.10,34.09%,8,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
118939,Wilson Minions Ultra 100 Tennis Racquet-L3,Wilson Minions Ultra 100 Tennis Racquet-L3,Simple Product,Racquets,WR064811-L3,97512504034,€230.00,€209.90,€115.00,32.06%,14,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
118938,Wilson Minions Ultra 100 Tennis Racquet-L2,Wilson Minions Ultra 100 Tennis Racquet-L2,Simple Product,Racquets,WR064811-L2,97512504027,€230.00,€209.90,€115.00,32.06%,9,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
118924,Wilson Minions 19'' Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Minions 19'' Junior,Simple Product,Racquets,WR068910H,97512509916,€35.00,€34.90,€17.10,39.24%,20,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
118923,Wilson Minions 17'' Junior Tennis Racquet,Παιδική ρακέτα τένις Wilson Minions 17'' Junior,Simple Product,Racquets,WR068810H,97512509923,€35.00,€34.90,€17.10,39.24%,14,In Stock,"Catalog, Search",Enabled,"Main Website, webgreek, Romanian Site"
118919,Wilson Blade 98 (16x19) Roland Garros Tennis Racquet (2021)-L4,Wilson Blade 98 (16x19) Roland Garros Tennis Racquet (2021)-L4,Simple Product,Racquets,WR068611-L4,97512515535,€260.00,€234.90,€126.00,33.49%,3,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
118918,Wilson Blade 98 (16x19) Roland Garros Tennis Racquet (2021)-L3,Wilson Blade 98 (16x19) Roland Garros Tennis Racquet (2021)-L3,Simple Product,Racquets,WR068611-L3,97512515528,€260.00,€234.90,€126.00,33.49%,16,In Stock,Not Visible Individually,Enabled,"Main Website, webgreek, Romanian Site"
